x,y,z,c,ttip
15.26,14.84,0.871,A,abc
14.88,14.57,0.8811,A,abc
14.29,14.09,0.905,A,abc
13.84,13.94,0.8955,A,abc
16.14,14.99,0.9034,A,abc
14.38,14.21,0.8951,A,abc
14.69,14.49,0.8799,A,abc
14.11,14.1,0.8911,A,abc
16.63,15.46,0.8747,A,abc
16.44,15.25,0.888,A,abc
15.26,14.85,0.8696,A,abc
14.03,14.16,0.8796,A,abc
13.89,14.02,0.888,A,abc
13.78,14.06,0.8759,A,abc
13.74,14.05,0.8744,A,abc
14.59,14.28,0.8993,A,abc
13.99,13.83,0.9183,A,abc
15.69,14.75,0.9058,A,abc
14.7,14.21,0.9153,A,abc
12.72,13.57,0.8686,A,abc
14.16,14.4,0.8584,A,abc
14.11,14.26,0.8722,A,abc
15.88,14.9,0.8988,A,abc
12.08,13.23,0.8664,A,abc
15.01,14.76,0.8657,A,abc
16.19,15.16,0.8849,A,abc
13.02,13.76,0.8641,A,abc
12.74,13.67,0.8564,A,abc
14.11,14.18,0.882,A,abc
13.45,14.02,0.8604,A,abc
13.16,13.82,0.8662,A,abc
15.49,14.94,0.8724,A,abc
14.09,14.41,0.8529,A,abc
13.94,14.17,0.8728,A,abc
15.05,14.68,0.8779,A,abc
16.12,15,0.8823,A,abc
16.2,15.27,0.8734,A,abc
17.08,15.38,0.9079,A,abc
14.8,14.52,0.8823,A,abc
14.28,14.17,0.8944,A,abc
13.54,13.85,0.8871,A,abc
13.5,13.85,0.8852,A,abc
13.16,13.55,0.9009,A,abc
15.5,14.86,0.882,A,abc
15.11,14.54,0.8986,A,abc
13.8,14.04,0.8794,A,abc
15.36,14.76,0.8861,A,abc
14.99,14.56,0.8883,A,abc
14.79,14.52,0.8819,A,abc
14.86,14.67,0.8676,A,abc
14.43,14.4,0.8751,A,abc
15.78,14.91,0.8923,A,abc
14.49,14.61,0.8538,A,abc
14.33,14.28,0.8831,A,abc
14.52,14.6,0.8557,A,abc
15.03,14.77,0.8658,A,abc
14.46,14.35,0.8818,A,abc
14.92,14.43,0.9006,A,abc
15.38,14.77,0.8857,A,abc
12.11,13.47,0.8392,A,abc
11.42,12.86,0.8683,A,abc
11.23,12.63,0.884,A,abc
12.36,13.19,0.8923,A,abc
13.22,13.84,0.868,A,abc
12.78,13.57,0.8716,A,abc
12.88,13.5,0.8879,A,abc
14.34,14.37,0.8726,A,abc
14.01,14.29,0.8625,A,abc
14.37,14.39,0.8726,A,abc
12.73,13.75,0.8458,A,abc
17.63,15.98,0.8673,A,abc
16.84,15.67,0.8623,A,abc
17.26,15.73,0.8763,A,abc
19.11,16.26,0.9081,A,abc
16.82,15.51,0.8786,A,abc
16.77,15.62,0.8638,A,abc
17.32,15.91,0.8599,A,abc
20.71,17.23,0.8763,A,abc
18.94,16.49,0.875,A,abc
17.12,15.55,0.8892,A,abc
16.53,15.34,0.8823,A,abc
18.72,16.19,0.8977,A,abc
20.2,16.89,0.8894,A,abc
19.57,16.74,0.8779,A,abc
19.51,16.71,0.878,A,abc
18.27,16.09,0.887,A,abc
18.88,16.26,0.8969,A,abc
18.98,16.66,0.859,A,abc
21.18,17.21,0.8989,A,abc
20.88,17.05,0.9031,A,abc
20.1,16.99,0.8746,A,abc
18.76,16.2,0.8984,A,abc
18.81,16.29,0.8906,A,abc
18.59,16.05,0.9066,A,abc
18.36,16.52,0.8452,A,abc
16.87,15.65,0.8648,A,abc
19.31,16.59,0.8815,A,abc
18.98,16.57,0.8687,A,abc
18.17,16.26,0.8637,A,abc
18.72,16.34,0.881,A,abc
16.41,15.25,0.8866,A,abc
17.99,15.86,0.8992,A,abc
19.46,16.5,0.8985,A,abc
19.18,16.63,0.8717,A,abc
18.95,16.42,0.8829,A,abc
18.83,16.29,0.8917,A,abc
18.85,16.17,0.9056,A,abc
17.63,15.86,0.88,A,abc
19.94,16.92,0.8752,A,abc
18.55,16.22,0.8865,A,abc
18.45,16.12,0.8921,A,abc
19.38,16.72,0.8716,A,abc
19.13,16.31,0.9035,A,abc
19.14,16.61,0.8722,A,abc
20.97,17.25,0.8859,B,abc
19.06,16.45,0.8854,B,abc
18.96,16.2,0.9077,B,abc
19.15,16.45,0.889,B,abc
18.89,16.23,0.9008,B,abc
20.03,16.9,0.8811,B,abc
20.24,16.91,0.8897,B,abc
18.14,16.12,0.8772,B,abc
16.17,15.38,0.8588,B,abc
18.43,15.97,0.9077,B,abc
15.99,14.89,0.9064,B,abc
18.75,16.18,0.8999,B,abc
18.65,16.41,0.8698,B,abc
17.98,15.85,0.8993,B,abc
20.16,17.03,0.8735,B,abc
17.55,15.66,0.8991,B,abc
18.3,15.89,0.9108,B,abc
18.94,16.32,0.8942,B,abc
15.38,14.9,0.8706,B,abc
16.16,15.33,0.8644,B,abc
15.56,14.89,0.8823,B,abc
15.38,14.66,0.899,B,abc
17.36,15.76,0.8785,B,abc
15.57,15.15,0.8527,B,abc
15.6,15.11,0.858,B,abc
16.23,15.18,0.885,B,abc
13.07,13.92,0.848,B,abc
13.32,13.94,0.8613,B,abc
13.34,13.95,0.862,B,abc
12.22,13.32,0.8652,B,abc
11.82,13.4,0.8274,B,abc
11.21,13.13,0.8167,B,abc
11.43,13.13,0.8335,B,abc
12.49,13.46,0.8658,B,abc
12.7,13.71,0.8491,B,abc
10.79,12.93,0.8107,B,abc
11.83,13.23,0.8496,B,abc
12.01,13.52,0.8249,B,abc
12.26,13.6,0.8333,B,abc
11.18,13.04,0.8266,B,abc
11.36,13.05,0.8382,B,abc
11.19,13.05,0.8253,C,abc
11.34,12.87,0.8596,C,abc
12.13,13.73,0.8081,C,abc
11.75,13.52,0.8082,C,abc
11.49,13.22,0.8263,C,abc
12.54,13.67,0.8425,C,abc
12.02,13.33,0.8503,C,abc
12.05,13.41,0.8416,C,abc
12.55,13.57,0.8558,C,abc
11.14,12.79,0.8558,C,abc
12.1,13.15,0.8793,C,abc
12.44,13.59,0.8462,C,abc
12.15,13.45,0.8443,C,abc
11.35,13.12,0.8291,C,abc
11.24,13,0.8455,C,abc
11.02,13,0.8355,C,abc
11.55,13.1,0.8455,C,abc
11.27,12.97,0.8419,C,abc
11.4,13.08,0.8375,C,abc
10.83,12.96,0.8099,C,abc
10.8,12.57,0.859,C,abc
11.26,13.01,0.8355,C,abc
10.74,12.73,0.8329,C,abc
11.48,13.05,0.8473,C,abc
12.21,13.47,0.8453,C,abc
11.41,12.95,0.856,C,abc
12.46,13.41,0.8706,C,abc
12.19,13.36,0.8579,C,abc
11.65,13.07,0.8575,C,abc
12.89,13.77,0.8541,C,abc
11.56,13.31,0.8198,C,abc
11.81,13.45,0.8198,C,abc
10.91,12.8,0.8372,C,abc
11.23,12.82,0.8594,C,abc
10.59,12.41,0.8648,C,abc
10.93,12.8,0.839,C,abc
11.27,12.86,0.8563,C,abc
11.87,13.02,0.8795,C,abc
10.82,12.83,0.8256,C,abc
12.11,13.27,0.8639,C,abc
12.8,13.47,0.886,C,abc
12.79,13.53,0.8786,C,abc
13.37,13.78,0.8849,C,abc
12.62,13.67,0.8481,C,abc
12.76,13.38,0.8964,C,abc
12.38,13.44,0.8609,C,abc
12.67,13.32,0.8977,C,abc
11.18,12.72,0.868,C,abc
12.7,13.41,0.8874,C,abc
12.37,13.47,0.8567,C,abc
12.19,13.2,0.8783,C,abc
11.23,12.88,0.8511,C,abc
13.2,13.66,0.8883,C,abc
11.84,13.21,0.8521,C,abc
12.3,13.34,0.8684,C,abc
